ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)	R
75	1628.01	-24.084	-1.188	-24.177	-2.551	-24.022	0.18	3.435954	99347
75	1625.86	-17.322	-1.791	-17.396	-3.155	-17.278	-0.423	3.176161	103297
75	1623.7	-11.038	-2.215	-11.093	-3.579	-11.009	-0.847	2.968937	102822
75	1621.54	-5.139	-2.492	-5.178	-3.857	-5.126	-1.125	2.798991	102837
75	1619.39	0.438	-2.648	0.415	-4.012	0.436	-1.281	2.656558	102606
75	1617.23	5.743	-2.698	5.735	-4.062	5.728	-1.333	2.535112	102385
75	1615.08	10.814	-2.658	10.82	-4.021	10.785	-1.294	2.430122	102164
75	1612.92	15.681	-2.537	15.702	-3.899	15.64	-1.175	2.338347	101709
75	1610.76	20.369	-2.346	20.403	-3.705	20.316	-0.985	2.257403	101729
75	1608.61	24.898	-2.089	24.945	-3.447	24.833	-0.73	2.185503	101520
75	1606.45	29.286	-1.774	29.344	-3.13	29.209	-0.417	2.121281	102563
76	1606.45	-23.341	-4.916	-23.434	-6.276	-23.278	-3.55	3.414717	99138
76	1604.35	-16.703	-5.484	-16.776	-6.845	-16.658	-4.118	3.162635	103212
76	1602.25	-10.523	-5.882	-10.578	-7.244	-10.494	-4.517	2.96054	102974
76	1600.15	-4.716	-6.141	-4.754	-7.503	-4.702	-4.776	2.794144	102746
76	1598.05	0.78	-6.283	0.758	-7.645	0.779	-4.919	2.654251	102534
76	1595.95	6.013	-6.324	6.005	-7.686	5.997	-4.961	2.534668	102313
76	1593.85	11.017	-6.278	11.024	-7.639	10.989	-4.917	2.431071	102089
76	1591.75	15.823	-6.155	15.844	-7.515	15.782	-4.795	2.34035	101880
76	1589.65	20.454	-5.963	20.488	-7.321	20.401	-4.605	2.260211	101669
76	1587.55	24.93	-5.709	24.976	-7.065	24.864	-4.353	2.188925	101445
76	1585.45	29.266	-5.398	29.325	-6.752	29.189	-4.044	2.125164	102693
77	1585.45	-22.623	-8.527	-22.717	-9.885	-22.56	-7.163	3.3949	99021
77	1583.4	-16.103	-9.062	-16.177	-10.422	-16.058	-7.699	3.150016	103228
77	1581.36	-10.024	-9.437	-10.079	-10.797	-9.995	-8.074	2.952741	102991
77	1579.31	-4.305	-9.678	-4.343	-11.038	-4.291	-8.316	2.789706	102778
77	1577.27	1.114	-9.808	1.091	-11.168	1.112	-8.446	2.652231	102557
77	1575.22	6.275	-9.841	6.268	-11.2	6.26	-8.48	2.534432	102332
