68.000000	1796.843938	-30.215649	28.345753	-30.163760	29.828414	-30.311143	26.870958	4.183876	3.006509400	80535	112072
68.000000	1790.286113	-11.769650	26.471817	-11.758981	27.946192	-11.815820	25.002424	3.385932	2.466953570	89715	123136
68.000000	1783.728288	3.688313	25.858331	3.664622	27.325900	3.681940	24.393789	2.929067	2.092718118	89264	124939
68.000000	1777.170464	17.301237	26.037737	17.246655	27.499166	17.329655	24.578100	2.628626	1.860495127	88781	125436
68.000000	1770.612639	29.646490	26.788018	29.563877	28.243719	29.705752	25.333322	2.415881	1.812452544	91981	122604
69.000000	1770.612639	-29.198979	23.572822	-29.146097	25.040347	-29.295404	22.112922	4.139117	2.952678640	80803	113271
69.000000	1764.243529	-11.152889	21.834487	-11.140912	23.294405	-11.200262	20.379042	3.370179	2.448489857	89719	123492
69.000000	1757.874419	4.036170	21.277792	4.013157	22.731555	4.029169	19.826510	2.924056	2.080398353	89270	125471
69.000000	1751.505309	17.441572	21.472939	17.387030	22.920803	17.469946	20.026358	2.628154	1.865763452	88791	125073
69.000000	1745.136198	29.612223	22.212223	29.529113	23.654279	29.671975	20.770754	2.417219	1.798481485	91972	123614
70.000000	1745.136198	-28.228969	18.989760	-28.174875	20.443543	-28.326399	17.543158	4.097870	2.939210340	81058	113012
70.000000	1738.947772	-10.560560	17.373137	-10.547456	18.820291	-10.608913	15.929916	3.355811	2.422381096	89722	124295
70.000000	1732.759346	4.371898	16.867689	4.349447	18.309328	4.364390	15.428001	2.919741	2.085933863	89275	124961
70.000000	1726.570920	17.578337	17.077140	17.523837	18.513097	17.606652	15.641977	2.628162	1.879990009	88801	124141
70.000000	1720.382493	29.581510	17.806585	29.497980	19.236633	29.641639	16.376696	2.419026	1.803758286	91962	123331
71.000000	1720.382493	-27.301459	14.581987	-27.246178	16.023471	-27.399788	13.147159	4.059846	2.921802099	81299	112965
71.000000	1714.367170	-9.990593	13.075072	-9.976568	14.510953	-10.039705	11.642609	3.342663	2.404112622	89725	124752
71.000000	1708.351847	4.696405	12.616111	4.674408	14.047054	4.688495	11.186649	2.916018	2.097245106	89281	124136
71.000000	1702.336523	17.711636	12.838609	17.657190	14.264060	17.739868	11.413522	2.628568	1.914695447	88811	121923
71.000000	1696.321200	29.553777	13.559161	29.469925	14.978610	29.614162	12.139478	2.421216	1.824288510	91951	122038
72.000000	1696.321200	-26.412766	10.336706	-26.356445	11.767244	-26.511810	8.912289	4.024733	2.896563205	81525	113278
72.000000	1690.471816	-9.441204	8.929178	-9.426457	10.355056	-9.490875	7.506261	3.330584	2.394067096	89727	124826
72.000000	1684.622433	5.010472	8.512618	4.988838	9.934048	5.002246	7.092277	2.912797	2.129036375	89286	122155
72.000000	1678.773049	17.841573	8.747053	17.787199	10.163155	17.869696	7.330958	2.629301	1.957393996	88821	119310
72.000000	1672.923666	29.528549	9.459470	29.444477	10.869503	29.589077	8.048868	2.423722	1.863372906	91938	119585
73.000000	1672.923666	-25.559667	6.242668	-25.502498	7.663462	-25.659223	4.827488	3.992231	2.861974304	81738	114018
73.000000	1667.233449	-8.910858	4.925658	-8.895565	6.342594	-8.960920	3.511294	3.319445	2.394323922	89728	124398
73.000000	1661.543233	5.314777	4.547980	5.293431	5.960863	5.306302	3.135869	2.910007	2.165023171	89292	120017
