ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)	R
74	1650.1628	-26.022231	3.314321	-26.227209	2.018983	-25.847324	4.613144	3.258208	100278
74	1647.947816	-19.443816	2.704704	-19.622536	1.398478	-19.293241	4.01324	3.046902	103781
74	1645.732833	-13.271766	2.271859	-13.42657	0.957618	-13.143477	3.587437	2.870327	103536
74	1643.517849	-7.444553	1.985086	-7.577298	0.665328	-7.337001	3.305391	2.718837	103292
74	1641.302865	-1.917245	1.821588	-2.029471	0.498571	-1.829138	3.14453	2.585869	103051
74	1639.087882	3.343942	1.763849	3.250898	0.439582	3.413795	3.087572	2.467093	102810
74	1636.872898	8.365568	1.798038	8.290513	0.474227	8.4183	3.120959	2.35973	102570
74	1634.657914	13.169514	1.912978	13.111385	0.591002	13.206172	3.233806	2.261937	102327
74	1632.442931	17.774395	2.099471	17.732248	0.780416	17.795911	3.417181	2.172347	102081
74	1630.227947	22.196212	2.349823	22.169193	1.03455	22.20339	3.663601	2.089789	101832
74	1628.012964	26.448637	2.657507	26.435949	1.346728	26.442183	3.966678	2.013199	103501
75	1628.012964	-25.301159	-0.414563	-25.502973	-1.710995	-25.129344	0.885518	3.244696	100323
75	1625.856655	-18.83391	-1.004074	-19.01021	-2.310926	-18.685703	0.30534	3.03798	103756
75	1623.700346	-12.759646	-1.421373	-12.912709	-2.735865	-12.633067	-0.105172	2.864639	103515
75	1621.544038	-7.019899	-1.695717	-7.151621	-3.015444	-6.913364	-0.37497	2.715491	103275
75	1619.387729	-1.571778	-1.84893	-1.683727	-3.171736	-1.483958	-0.525672	2.584304	103038
75	1617.231421	3.617165	-1.897915	3.523685	-3.221901	3.687435	-0.573957	2.466969	102802
75	1615.075112	8.57257	-1.856162	8.496464	-3.179719	8.626335	-0.533038	2.360831	102565
75	1612.918804	13.31563	-1.734663	13.255957	-3.056482	13.353821	-0.41362	2.264109	102326
75	1610.762495	17.864392	-1.542511	17.820311	-2.861549	17.887835	-0.22453	2.175459	102083
75	1608.606187	22.234371	-1.287302	22.205091	-2.602717	22.243809	0.026837	2.093728	101836
75	1606.449878	26.438839	-0.975455	26.423572	-2.286537	26.434961	0.3342	2.017871	103486
76	1606.449878	-24.596115	-4.02943	-24.794949	-5.326021	-24.427232	-2.729057	3.230945	100366
76	1604.349943	-18.237731	-4.599046	-18.411786	-5.90554	-18.091775	-3.289781	3.028671	103732
76	1602.250009	-12.259574	-5.000916	-12.411065	-6.314606	-12.134603	-3.685212	2.858437	103494
76	1600.150074	-6.606103	-5.26294	-6.736932	-6.581529	-6.500497	-3.942948	2.711545	103259
76	1598.05014	-1.236312	-5.406038	-1.348048	-6.727513	-1.148718	-4.083696	2.582107	103026
76	1595.950206	3.881038	-5.446542	3.787136	-6.769152	3.95175	-4.12356	2.466227	102794
76	1593.850271	8.770766	-5.397599	8.693688	-6.71986	8.825552	-4.075423	2.361354	102560
76	1591.750337	13.453421	-5.269997	13.392324	-6.590683	13.493101	-3.949806	2.265743	102324
76	1589.650402	17.94649	-5.072689	17.900611	-6.390794	17.971796	-3.755424	2.178061	102084
76	1587.550468	22.264988	-4.813153	22.233574	-6.12784	22.276604	-3.499572	2.097167	101841
76	1585.450533	26.421759	-4.49769	26.40403	-5.80823	26.420364	-3.188427	2.022037	103472
77	1585.450533	-23.907087	-7.533085	-24.103133	-8.829013	-23.740962	-6.233294	3.21699	100407
77	1583.404791	-17.655286	-8.083001	-17.827296	-9.38831	-17.511415	-6.774805	3.019001	103709
77	1581.359048	-11.771546	-8.469531	-11.921655	-9.781584	-11.648028	-7.155305	2.851758	103475
77	1579.313305	-6.203092	-8.719329	-6.333167	-10.035945	-6.098293	-7.401118	2.70706	103244
77	1577.267563	-0.910664	-8.852492	-1.022241	-10.171813	-0.823234	-7.532102	2.579357	103015
77	1575.22182	4.135877	-8.884817	4.04159	-10.20525	4.207025	-7.563822	2.464947	102786
77	1573.176077	8.960589	-8.829097	8.88265	-10.149286	9.016332	-7.508831	2.361368	102556
77	1571.130335	13.583413	-8.695883	13.521041	-10.014683	13.624481	-7.377447	2.266895	102322
77	1569.084592	18.02128	-8.49395	17.973757	-9.810384	18.048331	-7.178246	2.180196	102085
77	1567.03885	22.288699	-8.230629	22.255289	-9.543851	22.30238	-6.918408	2.100138	101845
77	1564.993107	26.398079	-7.912086	26.377998	-9.221344	26.399061	-6.603994	2.025726	103458
78	1564.993107	-23.234033	-10.928444	-23.427471	-12.222992	-23.070481	-9.630003	3.202855	100447
78	1562.999485	-17.086569	-11.458876	-17.256728	-12.762334	-16.944592	-10.152523	3.008997	103687
78	1561.005863	-11.295543	-11.83018	-11.444448	-13.139978	-11.1733	-10.518216	2.844653	103457
78	1559.012242	-5.810772	-12.067876	-5.940214	-13.381943	-5.706653	-10.752231	2.702108	103230
78	1557.01862	-0.594623	-12.191316	-0.706078	-13.507936	-0.507306	-10.87365	2.576134	103004
